Transaction ID,Amount,Currency,Payment Method,Status,Timestamp,Merchant ID,Customer ID,Payment Gateway,Authorization Code
dfc50fde-499c-4ee0-8763-7ecb9a1bbba8,694.76,SEK,Bank Transfer,Pending,2025-02-23 06:24:51,1152477b-88fc-4574-ba20-202a4a789a32,19f6105b-fb74-46c1-875c-0558eeb4f5cd,PayPal,3c5262a8-f8a7-45a5-9654-f18054d17bfe
51faf5dc-4416-41df-9cac-80ca9b6be560,419.07,USD,Bank Transfer,Failed,2025-01-26 01:21:54,15c706c0-4d3c-4e3d-a017-661f397aa24c,4f50a451-b9be-4ab0-9c0f-13b2c31e3606,PayPal,9349fc0d-4656-4fd2-b353-df276e1df211
090aee71-8850-4c14-b052-7423fd313fe6,327.18,USD,Debit Card,Completed,2025-02-17 11:33:09,972ee950-6a3e-4d36-868f-9b79111b7d52,6d1ff28b-8901-414e-94ac-135e1c71fb32,Stripe,da8fc11e-95ca-45df-8abd-2f52676262fb
85855582-2719-494f-bd59-d99d7f2a421c,928.76,SEK,Bank Transfer,Completed,2025-01-27 15:22:35,97bd02f5-e5f3-4ae3-a128-011776bcaa89,c9238f20-a5eb-4b1c-86ee-37ac506af03e,PayPal,baeccba3-75fc-4189-b7b2-2c7e3fc13b97
d0e69cfd-325a-4fbd-8223-19b2454ea106,77.68,USD,Bank Transfer,Pending,2025-02-13 13:33:34,5d892747-b2cf-44f1-9615-44266fb2e0c5,fffbef4c-755e-4554-a655-5ea388dcf96b,Stripe,852f8813-00bb-4161-b610-0afe9ebf7f4d
d4e23a99-e1f1-49b0-b2cb-af6e1fc7a337,475.29,USD,Bank Transfer,Failed,2025-03-01 14:53:14,5839edc9-8e21-4d91-9429-c767374d589e,d1ff1502-c3b0-4e82-9024-b99b30ed04ef,Stripe,6b1b7914-9b1a-4900-be1d-0e79bb9f8a25
5a5a266c-08ee-46dd-a608-fc171e051b34,40.81,USD,Debit Card,Failed,2025-03-10 04:38:40,77542b29-1550-4a64-a702-3d9fae921d4a,14069a22-a8b3-47a9-aa08-d1a66a14f003,PayPal,e3200932-317e-418b-8935-4ef5b9a0cd82
6a350da8-017d-4c9e-85db-57e972aa1141,695.62,USD,Credit Card,Failed,2025-01-02 05:25:40,b1e57d70-b587-44e8-9e5c-3075b07ac808,3b6880c6-1983-4218-b7e8-91cdbefb76a1,Stripe,b6e4777d-b6e0-4eda-b8a9-9e6eeb633d07
ee863bb8-1b74-4585-b890-d8f59c86616b,57.94,SEK,Debit Card,Pending,2025-01-09 13:43:05,f190d16d-4fbb-4560-b4f9-e10883452ce6,64938503-9cc9-4731-90fd-2a39561909e9,Stripe,8a73eb2a-4973-4b5b-8aac-f8058b748570
7b795ed6-65cc-444a-917e-f5e3027f942c,352.27,SEK,Credit Card,Failed,2025-01-01 07:39:11,336dfc0a-2d59-400d-b638-535d448e60ac,24d7c674-985b-4293-82e5-d958cfc4d3c6,PayPal,c4b5751a-7cef-4205-8131-1db5bfcee222
ae25438a-79c8-4423-9d73-3170e9e0b724,794.22,SEK,Debit Card,Pending,2025-02-21 12:00:44,e9a22f21-058c-4a85-ab15-7195d77aefe6,9fab3459-a982-4743-97f0-d0f91496eeb8,PayPal,c1f4328b-6bf8-460f-ad8a-0796e2c6231f
27ec8c55-b9d3-4a3d-9d73-0ebed4fb4020,463.3,SEK,Bank Transfer,Completed,2025-02-28 07:28:30,42d811b8-1ea0-4ebc-993c-754e7dd45483,8794fa60-0715-4155-af34-62d9988a9207,Stripe,0fe0572c-35d4-494a-b18c-63b4a4c4337c
f0552667-546b-4da1-babd-2e5b54634713,690.46,USD,Bank Transfer,Completed,2025-01-10 20:34:33,74092c3e-816c-4a91-ad23-6269aca999dc,0ef71a4f-0e6c-4859-99db-7598b96f8f3d,Stripe,274dde33-288d-4fba-98ff-14294e8455ea
7c99b98c-f472-4afd-b815-819afe4ef172,583.9,SEK,Bank Transfer,Pending,2025-01-03 14:28:45,0e83d2c7-6990-4f47-9922-d7dc1d164294,6458d92e-84f2-421d-ad94-49b81bf49e2d,Stripe,d026d7da-8b83-4cb1-83ed-32c0b0fe4645
8859ee76-8c11-480f-ade4-58ce8ad550dc,998.26,USD,Credit Card,Completed,2025-02-09 01:50:04,3558285b-833c-4e03-bfde-7ab6b326013d,700c201e-39fc-400d-876a-7d3bade9135f,PayPal,df244059-34c6-4774-ae0d-f5be7009c91f
75cf534f-d581-45cc-a33b-3323a81b4e28,998.13,SEK,Bank Transfer,Failed,2025-02-22 00:59:23,86cf14ab-3dce-4dec-b2f7-66c8b1ee05cc,134df984-d63d-4bd2-95c7-ec72fd6e8aa1,Stripe,d6a14b18-4a8c-4401-8e15-c32fb2ad482e
72ee44ef-56b1-4191-8c8f-ef2eac0f65be,183.97,USD,Credit Card,Completed,2025-02-05 05:12:38,ff1287ea-6c87-431b-af65-54f6f0b44f8a,64ad7d4a-c79e-45e8-b538-fac2404a06b4,PayPal,806bac8a-21f2-4c0c-914f-a40a115bb596
a125cbc7-0f84-42b7-9b2f-ee4b571be0f3,739.79,SEK,Bank Transfer,Completed,2025-03-04 14:49:37,39d23360-8de5-44d1-a583-f8a77dd31aa2,6862aad5-e80d-453c-aee0-2a03f835e4ab,PayPal,0a244381-face-4c27-816d-471a15da456e
2a539b65-d2e0-4014-892e-a20932b8da47,245.75,USD,Credit Card,Failed,2025-02-13 16:55:32,687bc08c-52d2-4a79-9c42-1568ff6fe347,734ed5f6-ef0d-460c-b2af-7780383cfdd1,PayPal,0a8b8711-0bcb-4db8-b121-d33eb5e519d2
a391a800-8b27-4ba5-a2fd-12a02a91320f,136.72,USD,Credit Card,Failed,2025-03-04 22:43:43,e82a7009-f558-43a0-a499-f23a9533a4ef,531433dd-bc09-4543-ac98-260e05198fd9,PayPal,8a970edf-a076-40ea-b70b-04a3c34e5a91
a5f37948-ad6b-42df-a0ac-c73dd056b11d,811.86,USD,Credit Card,Failed,2025-03-20 02:02:22,ea7419de-0c7a-4447-a731-210927568d4a,16b9e427-a34f-41fd-8b66-ff7f18688a67,PayPal,259f4a20-ddfd-4ca9-86c9-5506fb95face
208f7b30-4825-4997-a6f0-8154bd280748,804.09,SEK,Debit Card,Completed,2025-02-09 18:43:21,e53a1c81-9fba-4e51-b19f-929d8eab265b,f00aaa18-e87e-4527-9bb5-d1082e844833,Stripe,e078539f-6981-474b-a0a5-c413c6f281df
940e504a-2909-44f6-a61c-995eb60c0879,937.12,SEK,Debit Card,Pending,2025-02-06 15:41:26,f2629dd2-4e14-4144-8fc5-d25b084aa6d9,61aacffd-3999-497d-aa77-8319295164b1,Stripe,ebaf8f85-7c92-4867-9e67-6fd2a9183ae4
1ed6f5c7-81ba-49ac-bd29-51ee761e13c8,271.56,USD,Bank Transfer,Pending,2025-03-13 10:21:52,0f5c2ec7-30b6-4ce1-bbf9-766c9f8ce3a0,2b3a0dcc-1e9e-4f3c-b034-a70f2a012736,PayPal,b04b80e0-6c84-4db2-8333-fc18a6a604de
a134fb8a-0796-4f16-9d3c-d63f5d14ce42,636.45,SEK,Credit Card,Pending,2025-01-16 09:44:48,b7f5d6d7-5831-47d7-8209-e934eb1a2d96,565e55a8-4904-4e33-8963-1a81430bd36b,Stripe,f1601e49-8f16-46a3-aed8-edc87ab6e313
